,feature/ exemplar ENGLISH,,anvil,chisel,axe,drill,crowbar,adjustable spanner,lawn mower,hammer,clamp,pickaxe,crowbar,wheelbarrow,knife,wrench,oil can,filling knife,plough,plane,shovel,screwdriver,grinding disc,nail,wire brush,vacuum cleaner,tongs,rope,paint brush,file,level,saw
je gebruikt het bij metselen,you use it when bricklaying,4,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,4,0
je kan er dingen mee kapot maken,you can bust things with it,6,1,3,4,3,4,3,2,4,1,3,4,1,4,2,1,3,1,3,3,2,3,3,2,1,2,0,0,2,0,4
je kan er dingen mee maken,you can make things with it,5,1,3,1,3,1,2,1,3,2,1,1,1,2,3,2,2,1,3,1,4,2,4,1,1,2,4,1,3,1,3
je kan er dingen mee vastbinden,you can tie things down with it,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
je kan er dingen mee vervoeren,you can transport things with it,14,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
je kan er een knoop in leggen,you can tie a knot in it,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
je kan er gaten mee boren,you can drill holes with it,10,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
je kan er iemand mee doden,you can kill someone with it,13,0,1,4,2,4,2,1,4,0,4,4,0,4,1,0,0,0,0,3,3,0,0,0,0,0,4,0,0,0,2
je kan er iemand mee verwonden,you can injure someone with it,8,0,3,4,3,4,2,2,4,0,4,4,0,4,2,0,2,1,0,4,3,1,4,1,0,2,2,0,2,0,3
je kan er mee touwtrekken,you can play tug-of-war with it,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
je kan er ook sieraden mee maken,you can also make ornaments with it,4,1,1,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,4,1,0,1,0,0
je kan ermee repareren,you can repair with it,6,0,0,0,1,0,2,0,3,1,0,0,0,1,3,2,2,0,0,0,3,0,3,1,0,2,3,1,1,0,2
je kan ermee spelen,you can play with it,14,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0
je moet het voortduwen,you have to push it forward,12,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
je moet sterk zijn om het te gebruiken,you have to be strong to use it,10,3,0,4,1,3,1,0,0,1,3,4,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1
kan als verdediging werken,can work as defence,5,0,0,2,0,2,0,0,1,0,1,2,0,4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
kan als wapen gebruikt worden,can be used as weapon,37,0,3,4,3,4,3,0,4,0,3,4,0,4,3,0,2,0,0,3,3,1,2,0,0,1,2,0,2,0,3
kan dik of dun zijn,can be thick or thin,7,0,2,0,1,1,0,0,3,1,1,1,0,1,0,0,0,0,1,1,2,1,4,1,0,1,4,3,1,0,0
kan dingen mee openbreken,can break stuff open,18,0,4,3,0,4,0,0,2,0,3,4,0,3,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
kan door iedereen gebruikt worden,can be used by anyone,8,1,4,4,3,3,3,4,4,3,3,4,4,4,4,3,4,1,3,4,4,1,4,3,4,4,4,4,4,4,4
kan een opvangbak hebben,can have a container ,6,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
kan een wonde zijn: schaafwonde,can be a wound : abrasion,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
kan je dingen mee afschuren,you can scour stuff off with it,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,2,0,0,0,0,4,0,0
kan je iets aan hangen,can be used to hang something from,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0
kan je iets mee ophangen,can be used to hang up something,6,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0
kan je mee draaien,can be turned,6,0,0,0,2,0,1,1,0,0,0,0,1,0,2,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0
kan je mee sjorren,can be used to lash,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
kan je messen mee slijpen,can be used to sharpen knives,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0
kan je nagels mee vijlen,can be used to polish nails,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
kan pijn doen,can hurt,19,1,2,4,4,1,1,1,4,1,3,2,1,3,1,0,1,2,2,2,1,2,4,0,0,1,1,0,2,0,3
kan roesten,can get rusty,28,2,4,4,3,4,4,3,4,3,4,4,4,4,4,2,4,4,4,4,4,2,4,2,1,4,0,1,4,2,4
kan uit verschillende materialen bestaan,can be made of different materials,4,0,0,0,3,0,0,3,1,2,0,0,3,2,0,2,1,0,1,1,1,2,0,0,2,2,2,3,1,3,2
klemt samen,clips together,8,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
klop je spijkers mee in de muur,be used to hit nails into the wall,13,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
komt in verschillende merken en modellen,comes in different brands and models,6,1,1,1,4,1,1,4,1,1,1,1,2,1,1,2,1,1,1,2,2,2,2,1,4,1,1,3,1,1,2
komt voor in een spreekwoord,occurs in a saying,13,1,1,1,0,0,0,0,2,0,1,0,1,2,0,0,0,1,0,2,0,0,3,0,0,1,1,0,1,0,2
komt voor in stripverhalen,occurs in comic books,5,2,1,3,2,2,1,3,3,1,3,2,3,3,1,2,1,2,1,3,2,2,3,1,3,3,3,3,1,1,3
koop je in de winkel,bought in a store,8,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,3,4,4,4,4,4,4,4,4,4
kun je mee vegen,can be used to sweep,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0
laat houtkrullen achter,leaves wood shavings,7,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
ligt in een tuinhuis,lies in a garden house,4,0,1,4,1,1,1,4,1,0,1,1,4,1,1,1,1,0,1,4,1,0,1,1,0,1,3,1,1,1,4
lijkt op een lat,ressembles a ruler,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0
maakt dingen glad of egaal,polishes things,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,2,0,1,0,0,0,0,4,0,0
maakt een gat in de muur,produces a hole in the wall,6,0,2,0,4,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0
maakt een scherp geluid,makes a piercing noise,5,1,2,0,3,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
maakt een vervelend geluid,produces an irritating noise,6,0,1,1,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,2
maakt een zoemend geluid,makes a buzzing sound,4,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,1
maakt geen geluid,does not produce sound,4,2,1,1,0,1,3,0,1,3,1,1,2,2,2,2,1,1,1,1,2,0,2,1,0,2,3,1,1,4,1
maakt lawaai,produces noise,56,0,0,0,4,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,1
maakt stof,produces dust,9,0,2,1,2,1,0,1,1,0,2,0,0,0,0,0,0,0,3,0,0,4,0,2,1,0,0,0,3,0,3
maakt vonken,produces sparks,4,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0
moet je soms slijpen,has to be sharpened sometimes,8,0,0,4,0,0,0,1,0,0,2,0,0,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
moet je uitwassen na gebruik,needs to be cleaned after use,12,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
moet worden nagevuld,needs to be filled,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
noemt men ook wel koevoet,also called crowbar,6,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stinkt,stinks,9,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0
trilt,vibrates,5,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,1
vind je in de garage,can be found in a garage,31,0,4,3,4,3,4,4,4,3,3,3,4,3,4,3,4,1,3,4,4,3,4,4,1,4,4,4,3,4,4
voelt ruw aan,feels rough,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,4,0,0,2,0,3,0,1
"wanneer je het gebruikt, zet je best veiligheidsbril op",requires safety glasses,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0
werd al gebruikt in de oertijd,was used in early ages,6,0,1,3,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0
werd gebruikt in de mijnen,was used in mines,8,0,2,0,1,2,0,0,2,1,4,2,2,1,0,0,0,0,0,2,0,1,1,1,1,0,3,0,0,0,0
werkt met een pompje,works with a pump,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
werkt op batterijen,works on batteries,7,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0
werkt op benzine,works on petrol,7,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
werkt op elektriciteit,works on electricity,39,0,0,0,4,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0
wordt gebruikt bij een manicure,used for manicure,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
wordt gebruikt door arbeiders,used by workers,4,3,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,2,4,4,4,4,4,4
wordt gebruikt door de brandweer,used by firemen,4,0,0,4,0,3,0,0,2,0,0,3,0,1,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,1
wordt gebruikt door de schrijnwerker,used by carpenters,15,0,4,0,4,0,2,0,4,4,0,0,0,2,2,0,0,0,4,0,3,2,2,1,0,3,0,1,3,3,4
wordt gebruikt door de stucadoor,used by a plasterer,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wordt gebruikt door doe-het-zelvers,used by handymen,7,1,4,2,4,2,4,3,4,3,2,2,3,3,4,3,4,2,4,3,4,2,4,3,3,4,3,4,4,4,4
wordt gebruikt door een boer,used by farmers,13,0,0,1,0,0,0,1,1,0,1,1,4,1,1,1,0,4,0,4,0,0,0,0,0,1,1,0,0,0,1
wordt gebruikt door een houthakker,used by lumber jackers,9,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3
wordt gebruikt door een inbreker,used by burglars,40,0,1,0,0,4,1,0,1,0,0,4,0,2,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0
wordt gebruikt door een kunstenaar,used by artists,4,2,3,0,0,0,0,0,2,1,0,0,0,2,0,0,0,0,2,0,1,1,1,0,0,1,1,3,2,1,1
wordt gebruikt door een mechanicien,used by mechanics,5,0,0,0,3,0,4,0,4,0,0,0,0,2,4,2,0,0,0,0,4,1,1,2,0,4,1,0,1,0,1
wordt gebruikt door een smid,used by smiths,16,4,2,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,1,0,1,1,1,2,0,2,0,0,2,0,0
wordt gebruikt door een timmerman,used by carpenters,22,1,4,0,4,2,3,0,4,4,0,2,0,2,4,0,1,0,3,0,4,1,4,1,1,4,2,1,3,3,4
wordt gebruikt door schilders,used by painters,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0
wordt gebruikt door vaklui,used by tradesmen,9,4,4,3,3,3,3,2,3,4,4,3,3,3,3,3,3,3,4,3,3,4,3,3,3,3,3,3,4,4,3
wordt gebruikt door werklui,used by work forces,13,1,3,2,4,4,4,1,4,1,3,4,3,3,4,3,3,1,2,3,4,2,4,2,1,4,3,3,3,3,4
wordt gebruikt in combinatie met een hamer,used in combination with a hamer,27,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
wordt gebruikt in de landbouw,used in farming,9,0,1,1,1,0,1,1,1,1,0,0,4,2,1,0,0,4,0,4,1,0,1,0,0,1,2,0,0,0,1
wordt gebruikt in de tuin,used in the garden,30,0,0,2,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3
wordt gebruikt in de zomer,used in summer,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
wordt gebruikt om bomen om te hakken,used to chop trees,7,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
wordt gebruikt om dingen te openen,used to open things,12,0,2,1,1,3,1,0,1,0,1,4,0,2,2,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0
wordt gebruikt om dingen vast te maken,used to attach things,8,0,0,0,0,0,2,0,1,1,0,0,0,0,2,0,0,0,0,0,3,0,3,0,0,0,4,0,0,0,0
wordt gebruikt om grond te bewerken,used to cultivate the soil,5,0,0,0,2,0,0,0,0,0,3,0,3,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0
wordt gebruikt om iets mee door te zagen,used to saw something in two,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
wordt gebruikt om iets vast te grijpen,used to grasp something,4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0
wordt gebruikt om ijzer te vijlen,used to file iron,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0
wordt gebruikt om mee te eten,used to eat with,9,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wordt gebruikt om te kuisen/poetsen,used for cleaning,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
wordt gebruikt om te olieën,used for oiling,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wordt gebruikt om te scheppen,used for shoveling,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
wordt gebruikt om vlees te snijden,used for cutting meat,5,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
wordt gebruikt om zware voorwerpen op te heffen,used for lifting heavy objects,16,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
wordt getrokken door een traktor,drawn by a tractor,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
wordt in de keuken gebruikt,used in the kitchen,6,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
wordt in huis gebruikt,used in the house,4,0,1,0,4,0,4,0,4,1,0,0,0,4,3,3,4,0,1,0,4,0,4,0,4,4,4,4,1,3,1
wordt met een hamer ergens in geklopt,is driven in by a hammer,14,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
wordt niet veel gebruikt,not used much,8,4,0,0,0,1,0,0,0,2,2,1,0,0,0,0,0,1,1,0,0,1,0,2,0,0,0,0,0,0,0
wordt opgeborgen in kelder,stored in the cellar,4,0,2,2,3,2,2,0,2,2,2,2,0,1,2,2,2,0,2,2,2,2,2,2,1,2,2,2,2,2,2
wordt soms gebruikt om spijkers ergens uit te halen,sometimes used to pull out nails,12,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0
wordt vaak gebruikt,often used  ,5,0,2,3,4,2,4,4,4,1,1,2,4,4,4,3,3,2,1,4,4,1,4,0,4,4,4,4,2,2,3
wordt verkocht in brico,is sold in Brico (particular hardware store),4,0,4,4,4,3,4,4,4,4,3,3,3,4,4,4,4,0,4,4,4,2,4,4,2,4,4,4,4,4,4
wordt verkocht in doehetzelf zaak,is sold in a hardware store,13,0,4,4,4,3,4,3,4,4,4,3,4,4,4,4,4,0,4,4,4,3,4,4,1,4,4,4,4,4,4
wordt verkocht in gamma,sold in Gamma (particular hardware store),5,0,4,4,4,4,4,3,4,4,2,4,4,4,4,4,4,0,4,4,4,2,4,4,2,4,4,4,4,4,4
zie je veel in schoonheidssalons,often seen in beauty parlors,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0
zit in de gereedschapskist,found in a tool box,44,0,3,1,3,1,4,0,4,1,0,1,0,3,4,0,1,0,1,0,4,0,4,1,0,4,1,0,3,2,1
zuigt stof,sucks dust,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,


,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,






,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,



,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
